Afghanistan;Kabul;652230;32225560;46.000;0.496;258;7492
Zimbabwe;Harare;390757;14438802;26.000;0.563;162;2592
Egypt;Cairo;1010408;100075480;100.000;0.700;-133;2629
Brazil;Brasilia;8515767;210147125;25.000;0.761;0;2995
Albania;Tirana;28748;2845955;98.000;0.791;0;2764
Belarus;Minsk;207595;9491800;45.800;0.817;90;346
Russia;Moscow;17098246;146745098;8.400;0.824;-28;5642
Argentina;Buenos Aires;2780400;44938712;14.400;0.830;-105;6960
Greece;Athens;131957;10724599;82.000;0.872;0;2919
Poland;Warsaw;312696;38386000;123.000;0.872;-2;2499
France;Paris;640679;67076000;116.000;0.891;-10;4810
Japan;Tokyo;377975;126150000;334.000;0.915;-4;3776
Liechtenstein;Vaduz;160;38557;237.000;0.917;430;2599
United States;Washington;3796742;328239523;87.000;0.920;-85;6190
Sweden;Stockholm;450295;10333456;23.000;0.937;-2;2097
Australia;Canberra;7692024;25717800;3.300;0.938;-15;2228
Germany;Berlin;357022;83149300;232.000;0.939;-4;2962
Switzerland;Bern;41285;8570146;207.000;0.946;193;4634
